기준_년_코드,기준_분기_코드,상권_코드,유사_업종_점포_수
2020,1,2110001,174
2020,1,2110002,205
2020,1,2110003,393
2020,1,2110004,413
2020,1,2110005,391
2020,1,2110006,114
2020,1,2110007,727
2020,1,2110008,1267
2020,1,2110009,188
2020,1,2110010,407
2020,1,2110011,78
2020,1,2110012,2201
2020,1,2110013,1128
2020,1,2110014,201
2020,1,2110015,576
2020,1,2110016,186
2020,1,2110017,776
2020,1,2110018,977
2020,1,2110019,1913
2020,1,2110020,497
2020,1,2110021,1133
2020,1,2110022,834
2020,1,2110023,567
2020,1,2110024,679
2020,1,2110025,897
2020,1,2110026,1157
2020,1,2110027,725
2020,1,2110028,1093
2020,1,2110029,2246
2020,1,2110030,1706
2020,1,2110031,310
2020,1,2110032,6065
2020,1,2110033,682
2020,1,2110034,5435
2020,1,2110035,1776
2020,1,2110036,1150
2020,1,2110037,957
2020,1,2110038,481
2020,1,2110039,3339
2020,1,2110040,826
2020,1,2110041,1108
2020,1,2110042,649
2020,1,2110043,1280
2020,1,2110044,803
2020,1,2110045,1718
2020,1,2110046,498
2020,1,2110047,1011
2020,1,2110048,2668
2020,1,2110049,1234
2020,1,2110050,1019
2020,1,2110051,1419
2020,1,2110052,1154
2020,1,2110053,1363
2020,1,2110054,1182
2020,1,2110055,3511
2020,1,2110056,1880
2020,1,2110057,1176
2020,1,2110058,2644
2020,1,2110059,659
2020,1,2110060,1082
2020,1,2110061,682
2020,1,2110062,1245
2020,1,2110063,3112
2020,1,2110064,1058
2020,1,2110065,1894
2020,1,2110066,1098
2020,1,2110067,1576
2020,1,2110068,1981
2020,1,2110069,1663
2020,1,2110070,180
2020,1,2110071,328
2020,1,2110072,729
2020,1,2110073,780
2020,1,2110074,1411
2020,1,2110075,1721
2020,1,2110076,445
2020,1,2110077,675
2020,1,2110078,332
2020,1,2110079,1288
2020,1,2110080,621
2020,1,2110081,850
2020,1,2110082,1640
2020,1,2110083,144
2020,1,2110084,932
2020,1,2110085,1174
2020,1,2110086,2214
2020,1,2110087,1540
2020,1,2110088,687
2020,1,2110089,198
2020,1,2110090,726
2020,1,2110091,944
2020,1,2110092,933
2020,1,2110093,1904
2020,1,2110094,358
2020,1,2110095,1204
2020,1,2110096,207
2020,1,2110097,472
2020,1,2110098,505
2020,1,2110099,738
2020,1,2110100,237
2020,1,2110101,339
2020,1,2110102,544
2020,1,2110103,457
2020,1,2110104,844
2020,1,2110105,1065
2020,1,2110106,260
2020,1,2110107,724
2020,1,2110108,386
2020,1,2110109,545
2020,1,2110110,858
2020,1,2110111,184
2020,1,2110112,1062
2020,1,2110113,183
2020,1,2110114,903
2020,1,2110115,1608
2020,1,2110116,1465
2020,1,2110117,1402
2020,1,2110118,1208
2020,1,2110119,1234
2020,1,2110120,489
2020,1,2110121,730
2020,1,2110122,1076
2020,1,2110123,600
2020,1,2110124,948
2020,1,2110125,723
2020,1,2110126,990
2020,1,2110127,871
2020,1,2110128,1328
2020,1,2110129,936
2020,1,2110130,905
2020,1,2110131,2165
2020,1,2110132,834
2020,1,2110133,1517
2020,1,2110134,1242
2020,1,2110135,1080
2020,1,2110136,2422
2020,1,2110137,2169
2020,1,2110138,1007
2020,1,2110139,1122
2020,1,2110140,2500
2020,1,2110141,1648
2020,1,2110142,1673
2020,1,2110143,564
2020,1,2110144,1256
2020,1,2110145,744
2020,1,2110146,763
2020,1,2110147,1198
2020,1,2110148,781
2020,1,2110149,456
2020,1,2110150,1231
2020,1,2110151,963
2020,1,2110152,720
2020,1,2110153,1680
2020,1,2110154,1656
2020,1,2110155,1526
2020,1,2110156,1364
2020,1,2110157,915
2020,1,2110158,1334
2020,1,2110159,2465
2020,1,2110160,588
2020,1,2110161,1299
2020,1,2110162,1502
2020,1,2110163,837
2020,1,2110164,766
2020,1,2110165,1274
2020,1,2110166,1925
2020,1,2110167,1689
2020,1,2110168,542
2020,1,2110169,847
2020,1,2110170,1509
2020,1,2110171,752
2020,1,2110172,902
2020,1,2110173,1783
2020,1,2110174,1487
2020,1,2110175,1405
2020,1,2110176,963
2020,1,2110177,452
2020,1,2110178,396
2020,1,2110179,398
2020,1,2110180,581
2020,1,2110181,1612
2020,1,2110182,1104
2020,1,2110183,806
2020,1,2110184,958
2020,1,2110185,836
2020,1,2110186,606
2020,1,2110187,1168
2020,1,2110188,910
2020,1,2110189,1184
2020,1,2110190,1058
2020,1,2110191,695
2020,1,2110192,1595
2020,1,2110193,562
2020,1,2110194,1329
2020,1,2110195,2389
2020,1,2110196,469
2020,1,2110197,183
2020,1,2110198,1334
2020,1,2110199,1120
2020,1,2110200,779
2020,1,2110201,527
2020,1,2110202,545
2020,1,2110203,1011
2020,1,2110204,874
2020,1,2110205,1347
2020,1,2110206,755
2020,1,2110207,987
2020,1,2110208,1086
2020,1,2110209,536
2020,1,2110210,1044
2020,1,2110211,1018
2020,1,2110212,1542
2020,1,2110213,925
2020,1,2110214,640
2020,1,2110215,871
2020,1,2110216,738
2020,1,2110217,1864
2020,1,2110218,1137
2020,1,2110219,989
2020,1,2110220,1174
2020,1,2110221,409
2020,1,2110222,386
2020,1,2110223,1541
2020,1,2110224,812
2020,1,2110225,1338
2020,1,2110226,2789
2020,1,2110227,1046
2020,1,2110228,2018
2020,1,2110229,1740
2020,1,2110230,1648
2020,1,2110231,389
2020,1,2110232,1050
2020,1,2110233,936
2020,1,2110234,937
2020,1,2110235,488
2020,1,2110236,1390
2020,1,2110237,1228
2020,1,2110238,679
2020,1,2110239,592
2020,1,2110240,929
2020,1,2110241,1344
2020,1,2110242,630
2020,1,2110243,1162
2020,1,2110244,1149
2020,1,2110245,953
2020,1,2110246,1258
2020,1,2110247,1262
2020,1,2110248,689
2020,1,2110249,1353
2020,1,2110250,669
2020,1,2110251,945
2020,1,2110252,817
2020,1,2110253,818
2020,1,2110254,1112
2020,1,2110255,1512
2020,1,2110256,1582
2020,1,2110257,914
2020,1,2110258,1175
2020,1,2110259,1453
2020,1,2110260,1048
2020,1,2110261,1623
2020,1,2110262,1377
2020,1,2110263,1599
2020,1,2110264,1683
2020,1,2110265,1820
2020,1,2110266,1376
2020,1,2110267,1199
2020,1,2110268,937
2020,1,2110269,813
2020,1,2110270,613
2020,1,2110271,474
2020,1,2110272,1079
2020,1,2110273,1093
2020,1,2110274,937
2020,1,2110275,1136
2020,1,2110276,153
2020,1,2110277,1346
2020,1,2110278,1059
2020,1,2110279,240
2020,1,2110280,207
2020,1,2110281,169
2020,1,2110282,196
2020,1,2110283,369
2020,1,2110284,177
2020,1,2110285,427
2020,1,2110286,861
2020,1,2110287,272
2020,1,2110288,781
2020,1,2110289,869
2020,1,2110290,373
2020,1,2110291,1088
2020,1,2110292,530
2020,1,2110293,1518
2020,1,2110294,887
2020,1,2110295,1037
2020,1,2110296,1306
2020,1,2110297,2168
2020,1,2110298,640
2020,1,2110299,1174
2020,1,2110300,2278
2020,1,2110301,1521
2020,1,2110302,811
2020,1,2110303,1611
2020,1,2110304,1163
2020,1,2110305,983
2020,1,2110306,595
2020,1,2110307,835
2020,1,2110308,924
2020,1,2110309,957
2020,1,2110310,560
2020,1,2110311,101
2020,1,2110312,595
2020,1,2110313,1142
2020,1,2110314,1097
2020,1,2110315,803
2020,1,2110316,1938
2020,1,2110317,445
2020,1,2110318,1152
2020,1,2110319,949
2020,1,2110320,453
2020,1,2110321,589
2020,1,2110322,337
2020,1,2110323,725
2020,1,2110324,764
2020,1,2110325,611
2020,1,2110326,371
2020,1,2110327,610
2020,1,2110328,477
2020,1,2110329,510
2020,1,2110330,770
2020,1,2110331,937
2020,1,2110332,674
2020,1,2110333,1042
2020,1,2110334,879
2020,1,2110335,1103
2020,1,2110336,568
2020,1,2110337,328
2020,1,2110338,217
2020,1,2110339,322
2020,1,2110340,378
2020,1,2110341,213
2020,1,2110342,344
2020,1,2110343,717
2020,1,2110344,182
2020,1,2110345,474
2020,1,2110346,540
2020,1,2110347,153
2020,1,2110348,789
2020,1,2110349,365
2020,1,2110350,608
2020,1,2110351,640
2020,1,2110352,627
2020,1,2110353,899
2020,1,2110354,634
2020,1,2110355,983
2020,1,2110356,745
2020,1,2110357,970
2020,1,2110358,1416
2020,1,2110359,1739
2020,1,2110360,1645
2020,1,2110361,804
2020,1,2110362,903
2020,1,2110363,702
2020,1,2110364,1418
2020,1,2110365,1226
2020,1,2110366,1128
2020,1,2110367,2209
2020,1,2110368,1134
2020,1,2110369,1925
2020,1,2110370,1244
2020,1,2110371,1026
2020,1,2110372,1250
2020,1,2110373,1881
2020,1,2110374,1271
2020,1,2110375,568
2020,1,2110376,1998
2020,1,2110377,1509
2020,1,2110378,788
2020,1,2110379,273
2020,1,2110380,309
2020,1,2110381,331
2020,1,2110382,348
2020,1,2110383,336
2020,1,2110384,299
2020,1,2110385,187
2020,1,2110386,100
2020,1,2110387,409
2020,1,2110388,611
2020,1,2110389,593
2020,1,2110390,828
2020,1,2110391,401
2020,1,2110392,421
2020,1,2110393,494
2020,1,2110394,1236
2020,1,2110395,1026
2020,1,2110396,1137
2020,1,2110397,856
2020,1,2110398,1109
2020,1,2110399,1197
2020,1,2110400,1209
2020,1,2110401,891
2020,1,2110402,1110
2020,1,2110403,1660
2020,1,2110404,1176
2020,1,2110405,1492
2020,1,2110406,556
2020,1,2110407,1101
2020,1,2110408,804
2020,1,2110409,1124
2020,1,2110410,1571
2020,1,2110411,921
2020,1,2110412,183
2020,1,2110413,515
2020,1,2110414,255
2020,1,2110415,1269
2020,1,2110416,664
2020,1,2110417,284
2020,1,2110418,525
2020,1,2110419,1107
2020,1,2110420,580
2020,1,2110421,838
2020,1,2110422,1063
2020,1,2110423,1154
2020,1,2110424,1506
2020,1,2110425,1912
2020,1,2110426,1531
2020,1,2110427,351
2020,1,2110428,1780
2020,1,2110429,1679
2020,1,2110430,840
2020,1,2110431,1205
2020,1,2110432,466
2020,1,2110433,1651
2020,1,2110434,1319
2020,1,2110435,396
2020,1,2110436,919
2020,1,2110437,714
2020,1,2110438,1213
2020,1,2110439,506
2020,1,2110440,340
2020,1,2110441,361
2020,1,2110442,121
2020,1,2110443,300
2020,1,2110444,450
2020,1,2110445,360
2020,1,2110446,237
2020,1,2110447,301
2020,1,2110448,419
2020,1,2110449,666
2020,1,2110450,1087
2020,1,2110451,841
2020,1,2110452,873
2020,1,2110453,1327
2020,1,2110454,1069
2020,1,2110455,1395
2020,1,2110456,1142
2020,1,2110457,1088
2020,1,2110458,1080
2020,1,2110459,1327
2020,1,2110460,1349
2020,1,2110461,963
2020,1,2110462,652
2020,1,2110463,1032
2020,1,2110464,1686
2020,1,2110465,1946
2020,1,2110466,1158
2020,1,2110467,783
2020,1,2110468,1958
2020,1,2110469,1671
2020,1,2110470,1135
2020,1,2110471,1425
2020,1,2110472,1846
2020,1,2110473,1586
2020,1,2110474,810
2020,1,2110475,1060
2020,1,2110476,677
2020,1,2110477,1480
2020,1,2110478,1102
2020,1,2110479,1346
2020,1,2110480,1071
2020,1,2110481,1844
2020,1,2110482,284
2020,1,2110483,653
2020,1,2110484,2021
2020,1,2110485,585
2020,1,2110486,986
2020,1,2110487,1448
2020,1,2110488,984
2020,1,2110489,999
2020,1,2110490,756
2020,1,2110491,229
2020,1,2110492,67
2020,1,2110493,271
2020,1,2110494,362
2020,1,2110495,1225
2020,1,2110496,1038
2020,1,2110497,773
2020,1,2110498,1402
2020,1,2110499,733
2020,1,2110500,542
2020,1,2110501,673
2020,1,2110502,1061
2020,1,2110503,913
2020,1,2110504,269
2020,1,2110505,464
2020,1,2110506,856
2020,1,2110507,1220
2020,1,2110508,1069
2020,1,2110509,2062
2020,1,2110510,376
2020,1,2110511,1190
2020,1,2110512,484
2020,1,2110513,660
2020,1,2110514,1956
2020,1,2110515,119
2020,1,2110516,307
2020,1,2110517,303
2020,1,2110518,309
2020,1,2110519,350
2020,1,2110520,2178
2020,1,2110521,988
2020,1,2110522,763
2020,1,2110523,186
2020,1,2110524,386
2020,1,2110525,907
2020,1,2110526,396
2020,1,2110527,1380
2020,1,2110528,871
2020,1,2110529,1168
2020,1,2110530,905
2020,1,2110531,169
2020,1,2110532,879
2020,1,2110533,763
2020,1,2110534,566
2020,1,2110535,785
2020,1,2110536,905
2020,1,2110537,962
2020,1,2110538,871
2020,1,2110539,1078
2020,1,2110540,446
2020,1,2110541,1214
2020,1,2110542,1047
2020,1,2110543,365
2020,1,2110544,2676
2020,1,2110545,852
2020,1,2110546,674
2020,1,2110547,1687
2020,1,2110548,1238
2020,1,2110549,865
2020,1,2110550,1921
2020,1,2110551,1306
2020,1,2110552,640
2020,1,2110553,729
2020,1,2110554,1895
2020,1,2110555,1240
2020,1,2110556,317
2020,1,2110557,1471
2020,1,2110558,1501
2020,1,2110559,2018
2020,1,2110560,1304
2020,1,2110561,1490
2020,1,2110562,1971
2020,1,2110563,753
2020,1,2110564,2252
2020,1,2110565,1646
2020,1,2110566,3626
2020,1,2110567,518
2020,1,2110568,512
2020,1,2110569,1961
2020,1,2110570,465
2020,1,2110571,1012
2020,1,2110572,2149
2020,1,2110573,784
2020,1,2110574,667
2020,1,2110575,1231
2020,1,2110576,1224
2020,1,2110577,1314
2020,1,2110578,1138
2020,1,2110579,794
2020,1,2110580,568
2020,1,2110581,1182
2020,1,2110582,1084
2020,1,2110583,807
2020,1,2110584,1022
2020,1,2110585,940
2020,1,2110586,1773
2020,1,2110587,1116
2020,1,2110588,596
2020,1,2110589,583
2020,1,2110590,523
2020,1,2110591,775
2020,1,2110592,651
2020,1,2110593,689
2020,1,2110594,363
2020,1,2110595,1269
2020,1,2110596,606
2020,1,2110597,1502
2020,1,2110598,722
2020,1,2110599,1171
2020,1,2110600,772
2020,1,2110601,1128
2020,1,2110602,613
2020,1,2110603,400
2020,1,2110604,1007
2020,1,2110605,569
2020,1,2110606,1220
2020,1,2110607,657
2020,1,2110608,1156
2020,1,2110609,909
2020,1,2110610,447
2020,1,2110611,1148
2020,1,2110612,1917
2020,1,2110613,1099
2020,1,2110614,1504
2020,1,2110615,929
2020,1,2110616,975
2020,1,2110617,1154
2020,1,2110618,1597
2020,1,2110619,905
2020,1,2110620,1201
2020,1,2110621,1289
2020,1,2110622,979
2020,1,2110623,324
2020,1,2110624,378
2020,1,2110625,1191
2020,1,2110626,885
2020,1,2110627,1205
2020,1,2110628,381
2020,1,2110629,1134
2020,1,2110630,1604
2020,1,2110631,999
2020,1,2110632,1013
2020,1,2110633,907
2020,1,2110634,1104
2020,1,2110635,1095
2020,1,2110636,1057
2020,1,2110637,850
2020,1,2110638,1796
2020,1,2110639,989
2020,1,2110640,452
2020,1,2110641,548
2020,1,2110642,86
2020,1,2110643,1190
2020,1,2110644,731
2020,1,2110645,1235
2020,1,2110646,2009
2020,1,2110647,1874
2020,1,2110648,936
2020,1,2110649,1029
2020,1,2110650,626
2020,1,2110651,1360
2020,1,2110652,699
2020,1,2110653,1657
2020,1,2110654,2248
2020,1,2110655,1730
2020,1,2110656,1759
2020,1,2110657,1434
2020,1,2110658,1192
2020,1,2110659,1599
2020,1,2110660,1931
2020,1,2110661,797
2020,1,2110662,1590
2020,1,2110663,912
2020,1,2110664,924
2020,1,2110665,1709
2020,1,2110666,442
2020,1,2110667,918
2020,1,2110668,1882
2020,1,2110669,742
2020,1,2110670,776
2020,1,2110671,1831
2020,1,2110672,435
2020,1,2110673,1681
2020,1,2110674,405
2020,1,2110675,1455
2020,1,2110676,963
2020,1,2110677,927
2020,1,2110678,505
2020,1,2110679,733
2020,1,2110680,240
2020,1,2110681,285
2020,1,2110682,272
2020,1,2110683,181
2020,1,2110684,210
2020,1,2110685,168
2020,1,2110686,553
2020,1,2110687,302
2020,1,2110688,599
2020,1,2110689,959
2020,1,2110690,1249
2020,1,2110691,568
2020,1,2110692,791
2020,1,2110693,504
2020,1,2110694,1044
2020,1,2110695,1254
2020,1,2110696,962
2020,1,2110697,492
2020,1,2110698,1006
2020,1,2110699,506
2020,1,2110700,1066
2020,1,2110701,613
2020,1,2110702,850
2020,1,2110703,1382
2020,1,2110704,834
2020,1,2110705,801
2020,1,2110706,781
2020,1,2110707,742
2020,1,2110708,921
2020,1,2110709,596
2020,1,2110710,3796
2020,1,2110711,1462
2020,1,2110712,1721
2020,1,2110713,1789
2020,1,2110714,2039
2020,1,2110715,1112
2020,1,2110716,1012
2020,1,2110717,3441
2020,1,2110718,1778
2020,1,2110719,1168
2020,1,2110720,1442
2020,1,2110721,1746
2020,1,2110722,2198
2020,1,2110723,2946
2020,1,2110724,1523
2020,1,2110725,2509
2020,1,2110726,159
2020,1,2110727,1156
2020,1,2110728,1676
2020,1,2110729,1684
2020,1,2110730,1330
2020,1,2110731,1129
2020,1,2110732,1414
2020,1,2110733,695
2020,1,2110734,914
2020,1,2110735,1456
2020,1,2110736,1839
2020,1,2110737,1275
2020,1,2110738,1608
2020,1,2110739,818
2020,1,2110740,1678
2020,1,2110741,943
2020,1,2110742,585
2020,1,2110743,1788
2020,1,2110744,1331
2020,1,2110745,790
2020,1,2110746,1334
2020,1,2110747,151
2020,1,2110748,860
2020,1,2110749,894
2020,1,2110750,868
2020,1,2110751,996
2020,1,2110752,915
2020,1,2110753,1013
2020,1,2110754,1033
2020,1,2110755,692
2020,1,2110756,606
2020,1,2110757,677
2020,1,2110758,928
2020,1,2110759,2025
2020,1,2110760,1079
2020,1,2110761,1083
2020,1,2110762,1363
2020,1,2110763,1070
2020,1,2110764,1000
2020,1,2110765,1804
2020,1,2110766,1827
2020,1,2110767,1557
2020,1,2110768,1187
2020,1,2110769,946
2020,1,2110770,1536
2020,1,2110771,1144
2020,1,2110772,632
2020,1,2110773,752
2020,1,2110774,955
2020,1,2110775,1007
2020,1,2110776,1188
2020,1,2110777,1502
2020,1,2110778,2204
2020,1,2110779,456
2020,1,2110780,483
2020,1,2110781,1087
2020,1,2110782,1543
2020,1,2110783,1101
2020,1,2110784,746
2020,1,2110785,755
2020,1,2110786,867
2020,1,2110787,865
2020,1,2110788,1321
2020,1,2110789,1143
2020,1,2110790,929
2020,1,2110791,373
2020,1,2110792,1473
2020,1,2110793,489
2020,1,2110794,777
2020,1,2110795,983
2020,1,2110796,761
2020,1,2110797,399
2020,1,2110798,515
2020,1,2110799,972
2020,1,2110800,1217
2020,1,2110801,365
2020,1,2110802,604
2020,1,2110803,956
2020,1,2110804,938
2020,1,2110805,488
2020,1,2110806,277
2020,1,2110807,1086
2020,1,2110808,1025
2020,1,2110809,738
2020,1,2110810,1161
2020,1,2110811,876
2020,1,2110812,817
2020,1,2110813,1063
2020,1,2110814,877
2020,1,2110815,1114
2020,1,2110816,564
2020,1,2110817,721
2020,1,2110818,836
2020,1,2110819,1385
2020,1,2110820,618
2020,1,2110821,1110
2020,1,2110822,859
2020,1,2110823,1371
2020,1,2110824,410
2020,1,2110825,1353
2020,1,2110826,1282
2020,1,2110827,1077
2020,1,2110828,1741
2020,1,2110829,968
2020,1,2110830,759
2020,1,2110831,441
2020,1,2110832,1905
2020,1,2110833,810
2020,1,2110834,690
2020,1,2110835,734
2020,1,2110836,1027
2020,1,2110837,1102
2020,1,2110838,504
2020,1,2110839,580
2020,1,2110840,802
2020,1,2110841,603
2020,1,2110842,808
2020,1,2110843,321
2020,1,2110844,189
2020,1,2110845,115
2020,1,2110846,1208
2020,1,2110847,490
2020,1,2110848,1479
2020,1,2110849,2041
2020,1,2110850,2559
2020,1,2110851,1362
2020,1,2110852,1347
2020,1,2110853,1579
2020,1,2110854,824
2020,1,2110855,1603
2020,1,2110856,1220
2020,1,2110857,756
2020,1,2110858,736
2020,1,2110859,166
2020,1,2110860,967
2020,1,2110861,1605
2020,1,2110862,843
2020,1,2110863,912
2020,1,2110864,684
2020,1,2110865,983
2020,1,2110866,547
2020,1,2110867,1202
2020,1,2110868,1305
2020,1,2110869,2959
2020,1,2110870,67
2020,1,2110871,1488
2020,1,2110872,528
2020,1,2110873,1501
2020,1,2110874,810
2020,1,2110875,946
2020,1,2110876,986
2020,1,2110877,2275
2020,1,2110878,253
2020,1,2110879,924
2020,1,2110880,1208
2020,1,2110881,1671
2020,1,2110882,1347
2020,1,2110883,1015
2020,1,2110884,1197
2020,1,2110885,527
2020,1,2110886,823
2020,1,2110887,661
2020,1,2110888,645
2020,1,2110889,982
2020,1,2110890,1131
2020,1,2110891,684
2020,1,2110892,2813
2020,1,2110893,119
2020,1,2110894,344
2020,1,2110895,2114
2020,1,2110896,799
2020,1,2110897,2234
2020,1,2110898,384
2020,1,2110899,899
2020,1,2110900,1182
2020,1,2110901,679
2020,1,2110902,1307
2020,1,2110903,1246
2020,1,2110904,1363
2020,1,2110905,956
2020,1,2110906,844
2020,1,2110907,1750
2020,1,2110908,632
2020,1,2110909,52
2020,1,2110910,1148
2020,1,2110911,314
2020,1,2110912,641
2020,1,2110913,552
2020,1,2110914,1021
2020,1,2110915,590
2020,1,2110916,1570
2020,1,2110917,205
2020,1,2110918,1111
2020,1,2110919,932
2020,1,2110920,694
2020,1,2110921,615
2020,1,2110922,1190
2020,1,2110923,689
2020,1,2110924,973
2020,1,2110925,782
2020,1,2110926,999
2020,1,2110927,379
2020,1,2110928,1993
2020,1,2110929,2461
2020,1,2110930,1252
2020,1,2110931,56
2020,1,2110932,575
2020,1,2110933,586
2020,1,2110934,276
2020,1,2110935,727
2020,1,2110936,482
2020,1,2110937,705
2020,1,2110938,493
2020,1,2110939,2439
2020,1,2110940,1064
2020,1,2110941,647
2020,1,2110942,1938
2020,1,2110943,1415
2020,1,2110944,183
2020,1,2110945,166
2020,1,2110946,164
2020,1,2110947,188
2020,1,2110948,58
2020,1,2110949,1739
2020,1,2110950,1417
2020,1,2110951,2218
2020,1,2110952,1239
2020,1,2110953,1707
2020,1,2110954,2464
2020,1,2110955,2593
2020,1,2110956,1536
2020,1,2110957,1728
2020,1,2110958,2388
2020,1,2110959,1276
2020,1,2110960,1317
2020,1,2110961,1719
2020,1,2110962,1348
2020,1,2110963,1684
2020,1,2110964,707
2020,1,2110965,1633
2020,1,2110966,2250
2020,1,2110967,2152
2020,1,2110968,1673
2020,1,2110969,2457
2020,1,2110970,1227
2020,1,2110971,2792
2020,1,2110972,1331
2020,1,2110973,1592
2020,1,2110974,886
2020,1,2110975,502
2020,1,2110976,1510
2020,1,2110977,1498
2020,1,2110978,589
2020,1,2110979,1272
2020,1,2110980,1224
2020,1,2110981,1935
2020,1,2110982,489
2020,1,2110983,998
2020,1,2110984,859
2020,1,2110985,882
2020,1,2110986,1034
2020,1,2110987,723
2020,1,2110988,622
2020,1,2110989,2264
2020,1,2110990,574
2020,1,2110991,1737
2020,1,2110992,2965
2020,1,2110993,57
2020,1,2110994,300
2020,1,2110995,779
2020,1,2110996,1540
2020,1,2110997,976
2020,1,2110998,212
2020,1,2110999,395
2020,1,2111000,178
2020,1,2111001,255
2020,1,2111002,126
2020,1,2111003,1453
2020,1,2111004,2999
2020,1,2111005,1167
2020,1,2111006,2059
2020,1,2111007,1002
2020,1,2111008,1316
2020,1,2111009,585
2020,1,2111010,1825
2020,1,2111011,313
2020,1,2111012,1896
2020,1,2111013,2247
2020,1,2111014,1862
2020,1,2111015,2753
2020,1,2111016,2186
2020,1,2111017,1115
2020,1,2111018,403
2020,1,2111019,1461
2020,1,2111020,679
2020,1,2111021,2120
2020,1,2111022,1339
2020,1,2111023,2151
2020,1,2111024,1761
2020,1,2111025,987
2020,1,2111026,2467
2020,1,2111027,1406
2020,1,2111028,2618
2020,1,2111029,669
2020,1,2111030,754
2020,1,2111031,866
2020,1,2111032,1029
2020,1,2111033,389
2020,1,2111034,641
2020,1,2111035,653
2020,1,2111036,568
2020,1,2111037,481
2020,1,2111038,592
2020,1,2111039,759
2020,1,2111040,531
2020,1,2111041,370
2020,1,2111042,1340
2020,1,2111043,511
2020,1,2111044,1039
2020,1,2111045,406
2020,1,2111046,1376
2020,1,2111047,419
2020,1,2111048,1448
2020,1,2111049,1409
2020,1,2111050,875
2020,1,2111051,2684
2020,1,2111052,1137
2020,1,2111053,1263
2020,1,2111054,759
2020,1,2111055,356
2020,1,2111056,1714
2020,1,2111057,1565
2020,1,2111058,740
2020,1,2111059,3040
2020,1,2111060,2017
2020,1,2111061,1786
2020,1,2111062,1347
2020,1,2111063,2110
2020,1,2111064,1612
2020,1,2111065,800
2020,1,2111066,1012
2020,1,2111067,2562
2020,1,2111068,1209
2020,1,2111069,1099
2020,1,2111070,852
2020,1,2111071,1013
2020,1,2111072,1400
2020,1,2111073,1987
2020,1,2111074,993
2020,1,2111075,1522
2020,1,2111076,1039
2020,1,2111077,2752
2020,1,2111078,1731
2020,1,2111079,805
2020,1,2111080,1366
2020,1,2111081,551
2020,1,2111082,389
2020,1,2111083,891
2020,1,2111084,388
2020,1,2111085,433
2020,1,2111086,349
2020,1,2111087,133
2020,1,2111088,294
